
2021-06-02 22:16:28 INFO  The Steps in Assignments1 are:28 - The Browser will launch
2021-06-02 22:16:47 INFO  The Steps in Assignments1 are:31 - The Windows will Maximise here
2021-06-02 22:16:48 INFO  The Steps in Assignments1 are:43 - The URL of the application will  navigate here
2021-06-02 22:16:56 INFO  The Steps in Assignments1 are:56 - Login Will takes place
2021-06-02 22:16:56 INFO  The Steps in Assignments1 are:57 - Enter The Username
2021-06-02 22:16:57 INFO  The Steps in Assignments1 are:59 - Enter The Password
2021-06-02 22:16:57 INFO  The Steps in Assignments1 are:61 - Click on the Loign button 
2021-06-02 22:16:59 INFO  The Steps in Assignments1 are:87 - minimizing rhe FlyOutWindow
2021-06-02 22:17:04 INFO  The Steps in Assignments1 are:100 - Creating User1 with valid information
2021-06-02 22:17:04 INFO  The Steps in Assignments1 are:101 - Click on the User Button
2021-06-02 22:17:29 INFO  The Steps in Assignments1 are:124 - Deleting created user
2021-06-02 22:17:31 INFO  The Steps in Assignments1 are:74 - Logout from the application
2021-06-02 22:17:34 INFO  The Steps in Assignments1 are:144 - Closing The Application


2021-06-03 15:41:17 INFO  The Steps in Assignments2 are:28 - Launching The Browser
2021-06-03 15:41:27 INFO  The Steps in Assignments2 are:31 - The Windows will Maximize here
2021-06-03 15:41:27 INFO  The Steps in Assignments2 are:43 - The URL of the application will  navigate here
2021-06-03 15:41:36 INFO  The Steps in Assignments2 are:55 - Login Will takes place
2021-06-03 15:41:36 INFO  The Steps in Assignments2 are:56 - Enter The Username and password
2021-06-03 15:41:42 INFO  The Steps in Assignments2 are:59 - Click on the Loign button 
2021-06-03 15:41:45 INFO  The Steps in Assignments2 are:71 - minimizing the FlyOutWindow
2021-06-03 15:41:54 INFO  The Steps in Assignments2 are:84 - Creating User1 with valid information
2021-06-03 15:41:54 INFO  The Steps in Assignments2 are:85 - Click on the User Button
2021-06-03 15:42:04 INFO  The Steps in Assignments2 are:107 - The user will get modified Here
2021-06-03 15:42:14 INFO  The Steps in Assignments2 are:125 - Deleting created user
2021-06-03 15:42:24 INFO  The Steps in Assignments2 are:144 - Logout from the application
2021-06-03 15:42:25 INFO  The Steps in Assignments2 are:157 - Closing The Application


2021-06-03 15:43:29 INFO  The Steps in Assignments3 are:27 - Launching The Browser
2021-06-03 15:43:35 INFO  The Steps in Assignments3 are:30 - The Windows will Maximize here
2021-06-03 15:43:35 INFO  The Steps in Assignments3 are:43 - The URL of the application will  navigate here
2021-06-03 15:43:48 INFO  The Steps in Assignments3 are:55 - Login Will takes place
2021-06-03 15:43:48 INFO  The Steps in Assignments3 are:56 - Enter The Username and password
2021-06-03 15:43:56 INFO  The Steps in Assignments3 are:71 - minimizing the FlyOutWindow
2021-06-03 15:44:04 INFO  The Steps in Assignments3 are:84 - Creating Customer with valid information
2021-06-03 15:44:04 INFO  The Steps in Assignments3 are:85 - Click on the New Button
2021-06-03 15:44:05 INFO  The Steps in Assignments3 are:108 - Deleting the  created customer
2021-06-03 15:44:06 INFO  The Steps in Assignments3 are:144 - Logout from the application
2021-06-03 15:44:07 INFO  The Steps in Assignments 3are:157 - Closing The Application


2021-06-03 15:54:21 INFO  The Steps in Assignments4 are:27 - Launching The Browser
2021-06-03 15:54:39 INFO  The Steps in Assignments4 are:30 - The Windows will Maximize here
2021-06-03 15:54:40 INFO  The Steps in Assignments4 are:43 - The URL of the application will  navigate here
2021-06-03 15:54:49 INFO  The Steps in Assignments4 are:55 - Login Will takes place
2021-06-03 15:54:49 INFO  The Steps in Assignments4 are:56 - Enter The Username and password
